,Ticker,Denominação social,Nome de pregão,CNPJ
,BSLI3,BRB Banco,BRB BCO DE BRASILIA S.A.,00000208000100
,BSLI4,BRB Banco,BRB BCO DE BRASILIA S.A.,00000208000100
,CABI3B,Cabinda Part,CABINDA PARTICIPACOES S.A.,04030182000102
,CALI3,Const A Lind,CONSTRUTORA ADOLPHO LINDENBERG S.A.,61022042000118
,CAMB3,Cambuci,CAMBUCI S.A.,61088894000108
,CAML3,Camil,CAMIL ALIMENTOS S.A.,64904295000103
,CASH3,Meliuz,MÉLIUZ S.A.,14110585000107
,CASN3,Casan,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,82508433000117
,CASN4,Casan,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,82508433000117
,CATA3,Ind Cataguas,CIA INDUSTRIAL CATAGUASES,19526748000150
,CATA4,Ind Cataguas,CIA INDUSTRIAL CATAGUASES,19526748000150
,CBAV3,Cba,COMPANHIA BRASILEIRA DE ALUMÍNIO,61409892000173
,CBEE3,Ampla Energ,AMPLA ENERGIA E SERVICOS S.A.,33050071000158
,CCRO3,CCR SA,CCR S.A.,02846056000197
,CEAB3,Cea Modas,CEA MODAS S.A.,45242914000105
,CEBR3,Ceb,CIA ENERGETICA DE BRASILIA,00070698000111
,CEBR5,Ceb,CIA ENERGETICA DE BRASILIA,00070698000111
,CEBR6,Ceb,CIA ENERGETICA DE BRASILIA,00070698000111
,CEDO3,Cedro,CIA FIACAO TECIDOS CEDRO CACHOEIRA,17245234000100
,CEDO4,Cedro,CIA FIACAO TECIDOS CEDRO CACHOEIRA,17245234000100
,CEEB3,Coelba,CIA ELETRICIDADE EST. DA BAHIA – COELBA,15139629000194
,CEEB5,Coelba,CIA ELETRICIDADE EST. DA BAHIA – COELBA,15139629000194
,CEEB6,Coelba,CIA ELETRICIDADE EST. DA BAHIA – COELBA,15139629000194
,CEED3,Ceee-D,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,08467115000100
,CEED4,Ceee-D,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,08467115000100
,CEGR3,Ceg,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,33938119000169
,CGAS3,Comgas,CIA GAS DE SAO PAULO – COMGAS,61856571000117
,CGAS5,Comgas,CIA GAS DE SAO PAULO – COMGAS,61856571000117
,CGRA3,Grazziotin,GRAZZIOTIN S.A.,92012467000170
,CGRA4,Grazziotin,GRAZZIOTIN S.A.,92012467000170
,CIEL3,Cielo,CIELO S.A.,01027058000191
,CLSA3,Clearsale,CLEAR SALE S.A.,03802115000198
